date	HG-IV	Fevi	F4	EGC
2017-05-08	16.063782	16.063782	63.070448	-34.606315
2017-05-09	16.063782	16.063782	54.84115	-46.068495
2017-05-10	19.966001	19.966001	72.272008	-29.222006
2017-05-11	23.076943	23.076943	75.154497	-30.631124
2017-05-12	17.003417	17.003417	63.070448	-41.369924
2017-05-13	19.966001	19.966001	59.729969	-39.292238
2017-05-14	23.414851	23.414851	51.854116	-30.854714
2017-05-15	28.714563	28.714563	52.495096	-36.305638
2017-05-16	16.063782	16.063782	39.450668	-24.264837
2017-05-17	3.508839	3.508839	33.612828	-11.595707
2017-05-18	-2.939599	-2.939599	48.817065	-10.008535
2017-05-19	-10.711737	-10.711737	44.43712	-17.111008
2017-05-20	3.508839	3.508839	44.79352	-20.047416
2017-05-21	7.79998	7.79998	27.367496	-24.264837
2017-05-22	12.192007	12.192007	39.129618	-10.008535
2017-05-23	-2.939599	-2.939599	31.690105	-2.327171
2017-05-24	-13.618341	-13.618341	44.79352	-6.539195
2017-05-25	-7.563863	-7.563863	49.933965	-2.327171
2017-05-26	-7.563863	-7.563863	48.817065	-7.399599
2017-05-27	-12.192007	-12.192007	33.612828	-18.902869
2017-05-28	-12.192007	-12.192007	28.716655	-11.595707
2017-05-29	-16.138924	-16.138924	33.150939	-49.378815
2017-05-30	-2.939599	-2.939599	51.410395	-72.789695
2017-05-31	19.966001	19.966001	67.130453	-7.399599
2017-06-01	28.714563	28.714563	71.49575	-3.845592
2017-06-02	22.382113	22.382113	63.070448	-12.872374
2017-06-03	17.491371	17.491371	58.235655	-17.111008
2017-06-04	20.815319	20.815319	41.445934	-2.327171
2017-06-05	28.714563	28.714563	45.485678	-2.327171
2017-06-06	25.308698	25.308698	45.777373	-8.510357
2017-06-07	17.003417	17.003417	45.777373	-46.950841
2017-06-08	20.815319	20.815319	51.854116	-40.668476
2017-06-09	29.687121	29.687121	53.563905	-29.322438
2017-06-10	29.512435	29.512435	52.339087	-25.048131
2017-06-11	16.063782	16.063782	51.854116	-25.048131
2017-06-12	20.815319	20.815319	39.129618	-30.03431
2017-06-13	11.984084	11.984084	39.129618	-33.920142
2017-06-14	11.984084	11.984084	33.612828	-25.833136
2017-06-15	3.508839	3.508839	37.454687	-46.935825
2017-06-16	-2.939599	-2.939599	28.550972	-45.058681
2017-06-17	-2.939599	-2.939599	40.494588	-28.393976
2017-06-18	-6.266967	-6.266967	34.662268	-19.072334
2017-06-19	-12.192007	-12.192007	44.43712	-12.694357
2017-06-20	-12.192007	-12.192007	41.3382	-18.902869
2017-06-21	-12.192007	-12.192007	40.742263	-2.327171
2017-06-22	-13.618341	-13.618341	39.945576	-6.539195
2017-06-23	-18.338456	-18.338456	37.174148	-28.434122
2017-06-24	-16.138924	-16.138924	42.911335	-16.160175
2017-06-25	-11.502351	-11.502351	45.827885	-23.360647
2017-06-26	-12.192007	-12.192007	33.150939	-11.595707
2017-06-27	-10.711737	-10.711737	34.662268	-11.595707
2017-06-28	-2.939599	-2.939599	34.662268	-22.302148
2017-06-29	-9.159069	-9.159069	48.846781	-8.510357
2017-06-30	7.563863	7.563863	48.846781	-10.008535
2017-07-01	19.966001	19.966001	73.361661	-2.327171
2017-07-02	25.97838	25.97838	65.704923	-3.845592
