Kingdom	Phylum	Class	Order	Family	Genus
asv244	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter
asv245	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
asv246	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia
asv247	Bacteria	Actinobacteriota	Actinobacteria	PeM15	NA	NA
asv248	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax
asv249	Archaea	Thermoplasmatota	Thermoplasmata	Marine_Group_II	NA	NA
asv250	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ib
asv251	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_III	NA
asv252	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA
asv253	Archaea	Thermoplasmatota	Thermoplasmata	Marine_Group_II	NA	NA
asv254	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Thalassobaculaceae	Thalassobaculum
asv255	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
asv256	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA
asv257	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus
asv258	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Formosa
asv259	Bacteria	Proteobacteria	Alphaproteobacteria	AT-s3-44	NA	NA
asv260	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum
asv261	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia
asv262	Bacteria	Proteobacteria	Gammaproteobacteria	UBA10353_marine_group	NA	NA
asv263	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SCGC_AAA164-E04
asv264	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_II	NA
asv265	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA
asv266	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia
asv267	Bacteria	Cyanobacteria	Cyanobacteriia	NA	NA	NA
asv268	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella
asv269	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
asv270	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
asv271	Bacteria	Proteobacteria	Gammaproteobacteria	UBA10353_marine_group	NA	NA
asv272	Bacteria	Proteobacteria	Gammaproteobacteria	HOC36	NA	NA
